acteurs,budget,compositeur,date,entrees_premiere_semaine,franchise,genre,pays,producteur,realisateur,remake,salles_premiere_semaine,studio,titre,url
"
                            Helen Hunt,
                            William H. Macy",1 000 000 $,,  06/03/2013,14 061,,Comédie dramatique,Etats-Unis,,,,,"
                20th Century Fox","
                            The Sessions",https://www.jpbox-office.com/fichfilm.php?id=13090&view=2
,3 400 000 $,,  15/10/2003,14 122,,Drame,Portugal,,,,,"
                Gémini Films","
                            Un film parlé",https://www.jpbox-office.com/fichfilm.php?id=1640&view=2
"
                            Catherine Deneuve,
                            John Malkovich",3 400 000 $,,  15/10/2003,14 122,,Drame,Portugal,,,,,"
                Gémini Films","
                            Un film parlé",https://www.jpbox-office.com/fichfilm.php?id=1640&view=2
,? $,,  29/10/2014,13 798,,Comédie,Etats-Unis,,"
                                    Jon Favreau",,,"
                Sony Pictures","
                            Chef",https://www.jpbox-office.com/fichfilm.php?id=14239&view=2
,? $,,  19/12/2018,13 801,,Drame,Grande-Bretagne,,,,,"
                Océan Films","
                            The Happy Prince",https://www.jpbox-office.com/fichfilm.php?id=17955&view=2
"
                            Scarlett Johansson,
                            Robert Downey Jr,
                            Dustin Hoffman",? $,,  29/10/2014,13 798,,Comédie,Etats-Unis,,"
                                    Jon Favreau",,,"
                Sony Pictures","
                            Chef",https://www.jpbox-office.com/fichfilm.php?id=14239&view=2
"
                            Colin Firth,
                            Emily Watson,
                            Béatrice Dalle",? $,,  19/12/2018,13 801,,Drame,Grande-Bretagne,,,,,"
                Océan Films","
                            The Happy Prince",https://www.jpbox-office.com/fichfilm.php?id=17955&view=2
"
                            John Cusack",,,  28/05/2008,13 819,,Drame,Etats-Unis,,,,,"
                TFM Distribution","
                            Grace is Gone",https://www.jpbox-office.com/fichfilm.php?id=9941&view=2
,? $,,  01/11/2017,13 803,,Drame,Etats-Unis,,,,,"
                Paramount","
                            The Secret Man - Mark Felt",https://www.jpbox-office.com/fichfilm.php?id=17374&view=2
"
                            Diane Lane,
                            Liam Neeson",? $,,  01/11/2017,13 803,,Drame,Etats-Unis,Ridley Scott,,,,"
                Paramount","
                            The Secret Man - Mark Felt",https://www.jpbox-office.com/fichfilm.php?id=17374&view=2
"
                            John Cusack",? $,,  28/05/2008,13 819,,Drame,Etats-Unis,,,,,"
                TFM Distribution","
                            Grace is Gone",https://www.jpbox-office.com/fichfilm.php?id=9941&view=2
,? $,,  28/03/2012,13 535,,Romance,Grande-Bretagne,,,,,"
                Pretty Pictures","
                            Perfect Sense",https://www.jpbox-office.com/fichfilm.php?id=12643&view=2
,26 000 000 $,,  20/06/2012,13 549,,Thriller,Etats-Unis,,,,,"
                Universal","
                            L'Ombre du mal",https://www.jpbox-office.com/fichfilm.php?id=12374&view=2
"
                            John Cusack,
                            Luke Evans,
                            Brendan Gleeson",26 000 000 $,,  20/06/2012,13 549,,Thriller,Etats-Unis,,,,,"
                Universal","
                            L'Ombre du mal",https://www.jpbox-office.com/fichfilm.php?id=12374&view=2
,? $,,  20/03/2019,13 224,,Comédie dramatique,Etats-Unis,,,Remake,,"
                Warner Bros.","
                            Du miel plein la tête",https://www.jpbox-office.com/fichfilm.php?id=18936&view=2
"
                            Benoît Poelvoorde",,,  13/10/2004,13 251,,Comédie,France,,,,,"
                Ad Vitam","
                            Aaltra",https://www.jpbox-office.com/fichfilm.php?id=1268&view=2
"
                            Jesse Eisenberg",,,  13/08/2014,13 311,,Comédie dramatique,Grande-Bretagne,,,,,"
                Mars Distribution","
                            The Double (2014)",https://www.jpbox-office.com/fichfilm.php?id=14127&view=2
"
                            Benoît Poelvoorde",55 544 ,,  13/10/2004,13 251,,Comédie,France,,,,,"
                Ad Vitam","
                            Aaltra",https://www.jpbox-office.com/fichfilm.php?id=1268&view=2
"
                            Jesse Eisenberg",? $,,  13/08/2014,13 311,,Comédie dramatique,Grande-Bretagne,,,,,"
                Mars Distribution","
                            The Double (2014)",https://www.jpbox-office.com/fichfilm.php?id=14127&view=2
"
                            Noomi Rapace",,,  02/05/2012,13 319,,Thriller,Norvège,,,,,"
                Jour2Fête","
                            Babycall",https://www.jpbox-office.com/fichfilm.php?id=13470&view=2
,? €,,  24/01/2018,13 320,,Drame,Allemagne,,,,,"
                KMBO","
                            Marie Curie",https://www.jpbox-office.com/fichfilm.php?id=16590&view=2
"
                            Noomi Rapace",4 109 834 $,,  02/05/2012,13 319,,Thriller,Norvège,,,,,"
                Jour2Fête","
                            Babycall",https://www.jpbox-office.com/fichfilm.php?id=13470&view=2
"
                            Andy Garcia,
                            Richard Dreyfuss",,,  10/09/1997,13 333,,Thriller,Etats-Unis,,"
                                    Sidney Lumet",,,"
                UIP","
                            Dans l'ombre de Manhattan",https://www.jpbox-office.com/fichfilm.php?id=3548&view=2
,? $,,  15/08/2018,13 322,,Drame,Etats-Unis,,,,,"
                Mars Distribution","
                            Sur la plage de Chesil",https://www.jpbox-office.com/fichfilm.php?id=18133&view=2
"
                            Emily Watson",? $,,  15/08/2018,13 322,,Drame,Etats-Unis,,,,,"
                Mars Distribution","
                            Sur la plage de Chesil",https://www.jpbox-office.com/fichfilm.php?id=18133&view=2
"
                            Charles Berling",? €,,  24/01/2018,13 320,,Drame,Allemagne,,,,,"
                KMBO","
                            Marie Curie",https://www.jpbox-office.com/fichfilm.php?id=16590&view=2
"
                            Andy Garcia,
                            Richard Dreyfuss",? $,,  10/09/1997,13 333,,Thriller,Etats-Unis,,"
                                    Sidney Lumet",,,"
                UIP","
                            Dans l'ombre de Manhattan",https://www.jpbox-office.com/fichfilm.php?id=3548&view=2
"
                            Simon Pegg",,,  31/08/2011,12 842,,Comédie,Grande-Bretagne,,"
                                    John Landis",,,"
                La Fabrique 2","
                            Cadavres à la Pelle",https://www.jpbox-office.com/fichfilm.php?id=11947&view=2
"
                            Simon Pegg",? $,,  31/08/2011,12 842,,Comédie,Grande-Bretagne,,"
                                    John Landis",,,"
                La Fabrique 2","
                            Cadavres à la Pelle",https://www.jpbox-office.com/fichfilm.php?id=11947&view=2
,12 564 ,,  18/10/2006,12 564,,Romance,France,,,,,"
                Magrytte Films","
                            Napoléon (et moi)",https://www.jpbox-office.com/fichfilm.php?id=584&view=2
,? $,,  20/06/2018,12 541,,Comédie,Grande-Bretagne,,,,,"
                ARP Selection","
                            How To Talk To Girls At Parties",https://www.jpbox-office.com/fichfilm.php?id=18114&view=2
"
                            Elle Fanning,
                            Nicole Kidman",? $,,  20/06/2018,12 541,,Comédie,Grande-Bretagne,,,,,"
                ARP Selection","
                            How To Talk To Girls At Parties",https://www.jpbox-office.com/fichfilm.php?id=18114&view=2
"
                            Daniel Auteuil,
                            Monica Bellucci",12 564 ,,  18/10/2006,12 564,,Romance,France,,,,,"
                Magrytte Films","
                            Napoléon (et moi)",https://www.jpbox-office.com/fichfilm.php?id=584&view=2
,30 000 000 $,,  07/09/2011,12 134,,Comédie dramatique,Canada,,,,,"
                Océan Films","
                            Le Monde de Barney",https://www.jpbox-office.com/fichfilm.php?id=11802&view=2
,170 017 ,,  28/04/2004,12 143,Franchise,Aventure - Action,Etats-Unis,,"
                                    Quentin Tarantino",,,"
                TFM Distribution","
                            Kill Bill: Volume 1 (Rep. 2004)",https://www.jpbox-office.com/fichfilm.php?id=12495&view=2
"
                            Uma Thurman",170 017 ,,  28/04/2004,12 143,Franchise,Aventure - Action,Etats-Unis,,"
                                    Quentin Tarantino",,,"
                TFM Distribution","
                            Kill Bill: Volume 1 (Rep. 2004)",https://www.jpbox-office.com/fichfilm.php?id=12495&view=2
"
                            Viggo Mortensen",,,  22/04/2015,11 884,,Drame,Argentine,,,,,"
                Le Pacte","
                            Jauja",https://www.jpbox-office.com/fichfilm.php?id=15022&view=2
"
                            Viggo Mortensen",? $,,  22/04/2015,11 884,,Drame,Argentine,,,,,"
                Le Pacte","
                            Jauja",https://www.jpbox-office.com/fichfilm.php?id=15022&view=2
,? $,,  01/09/2010,11 982,,Comédie dramatique,Mexique,,,,,"
                SND","
                            Rudo et Cursi",https://www.jpbox-office.com/fichfilm.php?id=10808&view=2
"
                            Gael Garcia Bernal",? $,,  01/09/2010,11 982,,Comédie dramatique,Mexique,,,,,"
                SND","
                            Rudo et Cursi",https://www.jpbox-office.com/fichfilm.php?id=10808&view=2
"
                            Jennifer Lopez,
                            Liv Tyler,
                            Matt Damon,
                            Ben Affleck",,,  11/08/2004,11 644,,Comédie,Etats-Unis,,"
                                    Kevin Smith",,,"
                TFM Distribution","
                            Père et fille",https://www.jpbox-office.com/fichfilm.php?id=1294&view=2
